cheese	milk	origin	region	family	kind	fat	calcium	rind	texture	color	flavor	aroma	producer	synonyms	alternative_spellings	vegetarian	description
Oak Smoked Wensleydale	pasteurized cow's milk	United Kingdom	North Yorkshire		"hard, artisan"			cloth wrapped	creamy and crumbly	pale yellow	smokey	smokey	Wensleydale Creamery				"Wensleydale is an historic fresh, mild cheese that has been made in Wensleydale, North Yorkshire since 1150 by Cistercian monks. These monks continued to make the cheese until the dissolution of their monasteries in 1540. Traditionally, sheep’s milk was used, but over the time cow’s milk was also used. The art of making the cheese was passed by the monks to the farmer’s wives who produced a blue variety of Wensleydale at their farmhouses. Today, Wensleydale is produced mainly from pasteurised cow’s milk with sheep’s milk added to enhance the flavor. Wensleydale Creamery in the town of Hawes is seeking to protect the name Yorkshire Wensleydale Cheese under PDO designation. But there are other producers of Wenslydale cheese in parts of the UK, mainly in Shropshire and Cheshire. Oak Smoked Wensleydale is naturally smoked for 18 hours using oak chips at the Wensleydale Creamery dairy to generate a subtle, smoked flavor along with a firmer and stronger texture. The cheese is a variant of Real Yorkshire Wensleydale as it maintains the same characteristics while adopting an attractive golden beech color. Wensleydale goes well with fruit cake, apple and is a perfect accompaniment during lunchtime or tea time. It also tastes delicious with hot desserts like fruit pies and crumbles. It is the king of cheeseboard where its fresh, milky sweetness and robust flavors rule the roost. It complements fruity white wine such as Pinot Grigio."
Oasis	goat's milk	Australia	"Mornington Peninsula, Melbourne"		"soft, artisan"				fluffy			"fresh, lactic"	BoatShed Cheese			yes	"Oasis is a hand-made cheese made from fresh goat milk, made by BoatShed Cheese based in Mornington Peninsula, Melbourne, Australia. A wonderful looking cheese is coated with chives, garlic and sun-roasted, dried capsicum. This lactic set cheese with a fluffy interior has very light and fresh flavor."
Oaxaca	pasteurized cow's milk	Mexico	Oaxaca	Pasta filata	"semi-hard, artisan"			rindless	"smooth, stringy and supple"	white	"buttery, mild, salty, savory"	pleasant	Cesar's Cheese	"Quesillo, Asadero, Queso Quesadilla, Oaxacan Style String Cheese"		no	"Oaxaca, also known as Queso Oaxaca, Asadero or Quesillo is a Mexican name for a semi-soft, white, string-type, Hispanic-style cheese made from cow's milk. Belonging to the pasta filata family, similar to a Mozzarella, Oaxaca is a stretched curd cheese, kneaded and sold in long ropes gently wound in balls. One of the artisanal cheeses, Oaxaca has savory mellow buttery flavor and is a great melting cheese. The little salty and mild flavor make it is one of the most popular cheeses for preparing quesadillas. In addition, Oaxaca is an excellent stuffing cheese in baking recipes. In both texture and flavor, it can be compared to a young Monterey Jack cheese. Although the cheese lacks a strong flavor, its mild taste is a favorite with kids."
Ocooch Mountain	unpasteurized sheep's milk	United States	Wisconsin		"semi-hard, artisan"			natural	"chewy, compact, dense and grainy"	pale yellow	"fruity, nutty"	"nutty, rich"	Hidden Springs Company			no	"Ocooch Mountain is a mountain-style, raw milk cheese, named after the Ocooch Mountains, a place name for the Western Upland area of Wisconsin. It is aged for 3-4 months, during which it is regular washed to develop a dense, nutty, slightly grainy cheese with a natural rind. The cheese is a bit like Parmesan but made with sheep’s milk. It has won many awards at the American Cheese Society competition."
Odysseus Marinated Feta	pasteurized or unpasteurized goat's and sheep's milk	Family: Feta			"soft, brined"				"creamy, grainy and open"	yellow	"creamy, woody"	"aromatic, herbal"	Cheese Slices			yes	"Feta is undoubtedly one of the most famous Greek cheeses. The cheese is protected by EU legislations and only those cheeses manufactured in Macedonia, Thrace, Thessaly, Central Mainland Greece, the Peloponnese and Lesvos can be called ‘feta’. To create traditional feta, 30 percent goat's milk is mixed with sheep's milk of animals grazing on pastures in the specific appellation of origin regions. Now-a-days, many stores sell goat and cow’s milk feta as well. Odysseus Feta is carefully ripened in small old wooden barrels using traditional methods. During three months months of aging, the salted curds ferment under whey and develops a yeasty aroma. When aged completely the cheese develops soft milky texture and creamy peppery finish. Odysseus Marinated Feta:After removing Odysseus Feta from the barrels, it is marinated in 100% Greek extra virgin olive oil and rolled in dried Greek oregano and rosemary, that gives it a hint of herbs."
Off Kilter	pasteurized cow's milk	United States	Port Townsend		semi-soft			washed	open and supple	white	"earthy, meaty, nutty, pungent, sweet, tart"	"earthy, lactic"	Mt. Townsend Creamery	Scotch Ale Washed Toma		no	"Off Kilter is semi-soft cheese washed in Pike Brewing Company's ""Kilt Lifter"" Scotch Ale. This results in a French-style tomme with a pungent, earthy and malty finish and slight stinky aroma, typical of washed rind cheese. The pale straw interior has a supple, fudge-like consistency and is dotted with small ""eyes"" or holes. When young, flavors are milky fresh, tart evolving to become malty, nutty and meaty."
Ogleshield	unpasteurized cow's milk	"England, Great Britain and United Kingdom"	"Cadbury, Somerset"		"semi-soft, artisan"			washed	creamy and supple	cream	"fruity, sweet"	pungent	Village Stores		"Ogleshield Raclette, Ogle Shield"	no	"Ogleshield is a British cheese made using beautifully rich raw Jersey milk by Jamie Montgomery & Wayne Mitchell of Montgomery's cheese-making family. The cheese is washed in special brine every three days to attain a slightly pungent sticky rind, which softens the cheese paste and significantly intensifies its flavor. This cross between the Montgomery's Cheddar and a Tomme is excellent when it comes to cooking as it melts brilliantly. This celebrated cheese has won a silver award at the 2014 World Cheese Awards."
Okanagan Double Cream Camembert	pasteurized cow's milk	Canada	Quebec	Camembert	"soft, artisan, soft-ripened"			bloomy	"buttery, creamy, soft and soft-ripened"	pale yellow	"buttery, creamy, mushroomy"	"mushroom, pungent"	Poplar Grove Cheese	Poplar Grove Camembert			"Okanagan Double Cream Camembert is a soft bloomy rind cheese with a creamy, rich luscious texture enveloped by a characteristic lovely white coat. It is brine salted, then aged for three weeks for the Camembert to develop a creamy, buttery and fresh mushroomy taste with notes of white truffles. This is a really good addition to a cheese platter plus it pairs well with a lot of white or red wines."
Old Burford	unpasteurized cow's milk	England	Somerset		"soft, artisan"			bloomy	"creamy, smooth and soft"	pale yellow	"creamy, sweet"	"rich, sweet"	Wootton Organic Dairy			yes	"Old Burford is a mould-ripened cheese made by Wooton Organic Dairy, Somerset, England. Made using organic, unpasteurized Jersey cow's milk that gives a deep golden color with a rich and creamy taste. This beautifully flavored cheese can be eaten when 3 to 8 weeks old. Old Burford is soft and smooth in texture, with runny interior."
Old Drovers Road	unpasteurized cow's milk	United States	Fairview	Cheddar	"semi-hard, artisan"			natural	creamy and crumbly	yellow	"buttery, creamy, sharp"	grassy	Looking Glass Creamery				"Old Drovers Road is a medium sharp cheddar style cheese named after a road that went from the mountains down into the Piedmont and was used by the Drovers (drivers of livestock, often hogs) to get to Charlotte to sell their livestock. This is a creamy and somewhat crumbly cheese made from raw cow's milk. It has a naturally buttery color, a hint of sharpness and grassy notes."
Old Ford	unpasteurized goat's milk	"England, Great Britain and United Kingdom"	"Timsbury, Somerset"		"semi-hard, artisan"			natural	"compact, crumbly and dense"	ivory	"buttery, citrusy, floral, salty, savory"	"barnyardy, floral, goaty"				no	"This cheese is no longer in production. Old Ford was a semi-hard, raw goat's milk cheese made by Mary Holbrook of Britain's Sleight Farm. During the summer, when the temperatures used to be warmer, Old Ford used to ripen quickly in three months while in the autumn it used to take eight months for the cheese to reveal its best characteristics. Cheeses made in the autumn, were often quite dense and intense by the time they were sold.Old Ford had a natural brown rind with a delicious crumble and savoury snowy white interior."
Old Goat	unpasteurized goat's milk	United States	Vermont		"semi-hard, artisan"			natural	"crumbly, firm, flaky and smooth"	ivory	"caramel, salty, subtle, sweet"	nutty	Twig Farm	Blue Goats		no	"Twig Farm Old Goat is a raw goat's milk farmstead cheese made by Michael Lee and Emily Sunderman at their farm in West Cornwall, Vermont. It is a matured and a much larger version of the Goat Tomme. While the Tomme is aged for 3 months and weighs about 2 lbs, Old Goat is aged for nearly a year and weighs 5 to 10 lbs. The difference is size and ripening period, gives it a distinct character in terms of texture, appearance and flavor.Old Goat is a firm, ivory colored cheese with a light brown rind covered in white moulds. It has a smooth texture that can be slightly crumbly and sometimes flaky. Flavors are sweet, nutty, caramel with a touch of salt. Only favourite localvores at the Middlebury Farmer's Market are allowed to sell this cheese. Sometimes, Twig Farm turn some of the Old Goats into a year-old subtle blue cheese called Blue Goats."
Old Harry	unpasteurized cow's milk	"England, Great Britain and United Kingdom"	Dorset	Cheddar	"hard, artisan"			natural	firm and smooth	yellow	"creamy, full-flavored, sharp"		Chalke Valley Cheese Ltd			no	"Old Harry is traditional Cheddar named after the Old Harry Rocks off the Dorset coast. It is matured for three months, during which it develops a wonderfully complex flavor and smooth texture beneath the natural rind. It is made using unpasteurized cow's milk and traditional rennet. Remember to trim off the rind before eating."
Old Kentucky Tomme	unpasteurized goat's milk	United States	Indiana	Tomme	"semi-soft, artisan"			mold ripened	buttery and creamy	white	"buttery, mushroomy, smooth"	"goaty, rich"	Capriole Goat Cheese			no	"Old Kentucky Tomme is a semi-soft, raw goat's milk cheese from Indiana that lies somewhere between an American Jack and a Tomme du Savoie. This aged cheese is matured for 5-6 months before being sold in the market. It has a white-gray, bloomy rind that becomes crusty and darker with age. The paste is creamy, buttery with brie-like translucent texture.Flavors are buttery, rich and smooth with mushroomy and goaty overtones. It is a lovely melting cheese and pairs well with savoury elements, grilled apples and ginger preserves and on cheese trays. Accompany a young Old Kentucky Tomme with soft red wines whilst the older ones with chardonnay or sauternes."
Old Winchester	pasteurized cow's milk	"England, Great Britain and United Kingdom"	Landford	Gouda	"hard, artisan"			natural	"crystalline, dry and flaky"	yellow	"crunchy, full-flavored, sweet"		Lyburn Farm	Old Smales		yes	"Old Winchester, popularly known as Old Smales is a matured version of Winchester. It is a much dryer and harder cheese with a characteristic nutty flavor. Since Old Winchester is made with vegetarian rennet, the cheese is used as a common replacement for hard Italian table cheeses. The wheels are sold at 18 months age when it is full flavored with an underlying sweetness, and a crunchy finish. Old Winchester has won many awards, including Best Modern British Cheese in 2006, Reserve Champion Cheese at the Bath and West in 2007. Each year, it has been consistently winning a one, two or a three star at the Great Tate Awards."
Olde York	pasteurized sheep's milk	"England, Great Britain and United Kingdom"	Thirsk		"fresh soft, artisan"	45%		natural	"smooth, spreadable and supple"	white	"acidic, sweet"		Shepherds Purse			yes	"Olde York is a fresh, pasteurised ewe's milk cheese made by the Shepherds Purse Company in Thirsk, England. It is soft white cheese of round shape with a fresh, crisp and creamy taste.  Refreshing on the palate, Olde York is very similar to feta, but more moist and wet. The texture is sliceable when removed from the fridge and spreadable if allowed to warm at room temperature. Vegetarians can confidently consume this cheese.Since, the cheese is made from ewe's milk; it has a sweet flavor and aroma with a high percentage of acid. The period of ripening is from 10 - 22 days and the content of fat is about 45 per cent. A Judy Bell invention, Olde York has won many prizes including ""100% Sheeps Milk"" - Gold at 2012 Global Cheese Awards. This cheese is used for grilling, cooking and it is delicious on baked potatoes."
Olivet au Foin	pasteurized or unpasteurized cow's milk	France	Loire	Camembert	"soft, artisan, soft-ripened"	45%		mold ripened	creamy and smooth	pale yellow	"herbaceous, mild, salty"	"floral, fresh, herbal"				no	"Olivet au foin is a soft-ripened French cheese made from cow's milk. Produced in the town of Olivet, settled along the Loire shores, this round shaped cheese is made only in May and June from the milk of cows grazing on lush spring grasses.  The cheese, which resembles a Camembert in flavor, has a white-mold rind and imparts a rich, herbal and floral tang courtesy of the straws of hay that decorate the rind. The mild, salty flavor of the soft yellowy paste goes well with a wine from the Loire region such as Chardonnay, Pinot Noir or Sancerre. It is primarily served as a table cheese with fresh bread and fruit. The period of ripening is approximately 3 months and the cheese has a fat content of 45 per cent."
Olivet Bleu	pasteurized cow's milk	France			"soft, artisan"	40%		natural	grainy	cream	salty		Various	Chécy		yes	"'Olivet' cheese originates from Orleanais, France. It is named after a town where it was produced for the first time. It is also famous as 'Chécy'. Olivet cheese comes in three varieties namely Olivet Bleu, Olivet cendré and Olivet au foin. When left to dry for four weeks, it is known as Olivet Bleu. Made from cow's milk, Olivet is slightly grainy in texture and has distinct aroma with taste of mushrooms. It is an artisan cheese which is made only in May and June since the cow milk is richer during these months than any other."
Olivet Cendre	unpasteurized cow's milk	France	Olivet		"soft, artisan"	45%		natural	smooth and supple	ivory	"mild, smooth"	"earthy, pungent"			Cendre d'Olivet	no	"Olivet Cendré, also called as Cendré d'Olivet, is an artisanal cheese made in the town of Olivet on the Loire River in France. It is a soft-white cheese of round shape with ash-gray, natural rind. Made from unpasteurised, cow's milk, this cheese is very similar to Olivet au Foin and Olivet au Poivre, but is cured for three months in wood ash from vines. The slow curing process gives the cheese a rather pungent, spicy aroma. The cheese, made in cylinders, has a gray skin from the ash and ivory-white supple and chalky dough. It has an earthy scent of the mould with a delicate taste. The best period for production of the cheese is May and June."
Olomoucké Tvarůžky	pasteurized cow's milk	Czech Republic	Ostrava		"soft, soft-ripened"	0.60%			crumbly and soft	yellow	"pungent, spicy"	strong	A. W. Company	olomoucké syrečky			"Olomoucké tvar__ky is a ripped soft, yellowish cheese made from skim cow's milk. Named after the city of Olomouc in Czech Republic, it has a very long history, which dates back to the 15th century. As an important and unavoidable part of Czech cuisine, this fetid cheese offers a distinctive, pungent taste with strong aroma. Famous as natural and soft cheese, it does not contain any chemical additives."
Oltermanni	pasteurized cow's milk	Finland		Havarti	semi-soft	34%		rindless	"creamy, smooth and spreadable"	pale yellow	"buttery, mild"	"fresh, pleasant"	Valio Ltd	Baby Muenster		yes	"Oltermanni is a Finnish cheese that is often compared to Danish cheese Havarti in terms of taste and flavor while some compare it with Muenster. In fact, it is nicknamed Baby Muenster by many. Manufactured by Valio, the cheese is a favourite cheese in Finland and Scandinavian countries, where it is often eaten with rye bread, sandwiches or other meals like rice pies. Traditional Oltermanni is a creamy, buttery, mild flavored cheese that is moderately smooth, though not as soft and spreadable as goat cheese. It can be cut into wedges or slices and served with fresh fruits like pears, grapes or plums or wines such as Merlot or Pinot Grigio. However, a contemporary and spreadable form of Oltermanni has made it a cheese for sandwiches, sauces and soups.Though original Oltermanni is available in a tightly wrapped cylinder form, newer introductions come in tubs with peelable tops to make it easy to open and store. Oltermanni is a rich cheese with high-fat content."
Oma	unpasteurized cow's milk	United States	Vermont	Tomme	"soft, artisan, smear-ripened"			washed	"buttery, creamy and soft"	cream	"creamy, meaty, pungent, sweet"	"buttery, earthy, nutty"	"Jasper Hill Farm, Von Trapp Farmstead"			no	"Made by von Trapp Farmstead and matured by Cellars at Jasper Hill, Oma is a washed-rind, tomme-style cheese made from unpasteurized, organic Jersey milk. Oma has soft but never runny paste with a balance of pungent and sweet flavors. It smells of roasted nuts, cured meat and chocolate with undertones of rich cream. The thin, orange rind provides an earthy contrast to the richness of the creamy interior.Oma balanced flavor profile make it a perfect choice on a cheeseboard. Belgian-style dubbel ale, Grüner Veltliner and buttery crackers and fig jam or dried fruit make great accompaniments to the cheese."
Onion & Chives Cheddar	cow's milk	United States	Wisconsin	Cheddar	semi-soft			natural	smooth	yellow	"full-flavored, savory"		Henning's Wisconsin Cheese	Cheddar Cheese with Onion and Chive			"This flavored Cheddar cheese gives you the fresh taste combination of chives and onions. Its smooth, rich, Cheddar flavor is emphasized by the aromatic hardiness of chives. Shred the delicious cheese and enjoy in hash browns, on a good rye bread with sausages or salad or a baked potato."
Operetta	pasteurized goat's milk	Canada	"Prince Edward County, Ontario"		"soft, artisan, soft-ripened"			mold ripened	dense and dry	white	strong	"lactic, pleasant"	Fifth Town Artisan Cheese				"Operetta is a crottin-style goat milk cheese with flavors that evolve as it ages. When young, the cheese has a white mould rind, beneath which is a light paste with a dense, pleasant lactic flavor. Upon further ripening, blue moulds start appearing and the paste becomes soft, producing stronger flavors. When Operetta is fully aged, its rind will be greyish blue on surface, and feature a dryer, dense, paste with more complex flavors."
Opus 42	pasteurized cow's milk	United States	Maine		"semi-hard, artisan"			natural	crumbly and firm	pale yellow	"lemony, nutty, sharp"	"earthy, pleasant, yeasty"	Lakin's Gorges Cheese LLC			yes	"Opus 42 is semi-firm cheese made using aromatic cultures such as flora danica and penicilium candidum. It is aged for 3-6 months during which it develops a mottled natural rind with a pale yellow paste that is slightly sharp and nutty. The aroma is yeasty complemented by distinct notes of cellar, earth and lemon."
Oregon Blue Cheese	unpasteurized cow's milk	United States	Oregon	Blue	"semi-soft, blue-veined"				buttery and firm	pale yellow	"buttery, mellow, sweet"	"clean, earthy"	Rogue Creamery			yes	"Oregon Blue Cheese is an award-winning blue cheese made using raw cow’s milk. It is aged for at least 90 days in Rogue Creamery’s Roquefort modelled caves. This results in a firm but buttery paste and a clean, briny flavor with notes of sweet cream and mellow, earthy blue moulds. The cheese is made from rBST free milk, is vegetarian-friendly and gluten-free."
Oregonzola	unpasteurized cow's milk	United States	Oregon	Blue	"semi-soft, blue-veined"			natural	"buttery, creamy and smooth"	pale yellow	"savory, sweet, tangy"	fruity	Rogue Creamery			yes	"Oregonzola is a Gorgonzola style cheese developed by Ignazio Vella in the late 1990's. It has a smooth and yielding paste and distinct blue veins of Gorgonzola with flavors reminiscent of fruit, sweet cream and tanginess. It is cave aged for at least 6 months, is vegetarian friendly and gluten free."
Organic Beer-Brined Moochego	pasteurized cow's milk	United States	NY		semi-soft			natural	"creamy, firm and smooth"	brown	full-flavored	rich	"Engelbert Farms, LLC"			yes	"Organic Beer-Brined Moochego is a pasture-raised, organic cows milk cheese from Engelbert Farms. It is a hard cheese that is brined in organic Brown Ale for up to 24 hours. This results in a beautiful brown rind and smooth, creamy texture with a distinctive flavor.The cheese is aged for up to two years or more, but ready for sale at around 30 days."
Organic Carrot	unpasteurized cow's milk	Austria	Sulzberg		"semi-hard, artisan"	50%		natural	creamy	orange	"creamy, milky, sweet"	"aromatic, fresh, lactic, sweet"	Sulzberger Käserebellen Sennerei GmbH	Bio-Rüblikäse	Organic Carrot Cheese		"Organic Carrot Cheese is a delicious carrot flavored speciality from Käserebellen, made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu. This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs. As the name suggests, this eye-catching delicacy reveals a deep orange colored rind with the aroma of carrot and a creamy smooth mouthfeel of fresh yoghurt."
Organic Cheddar	pasteurized or unpasteurized cow's milk	United States	NY	Cheddar	"hard, artisan"			natural	"creamy, crumbly, firm and smooth"	yellow	"creamy, sharp, smooth"	pleasant					"Organic Cheddar Cheese is a pasture-raised, organic cows milk cheese from Engelbert Farms. It is a hard cheese aged at least 60 days, resulting in a smooth and creamy texture and melt-in-the-mouth flavor. The cheese is available in Sharp, Chipotle, Smoked and Tomato Basil flavors. It is also prepared using the raw milk of cows."
Organic Chili	unpasteurized cow's milk	Austria	Sulzberg		"semi-hard, artisan"	50%		natural	"creamy, firm and smooth"	yellow	spicy	strong	Sulzberger Käserebellen Sennerei GmbH	Bio-Chilikäse			"Organic Chili is a semi-hard, chilli flavored speciality from Käserebellen, made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu. This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs. As the name suggests, this hearty cheese gets its sizzle from the small chilli pieces in the cheese and on the rind. This cheese appeals to those who love an extra dose of hot flavor."
Organic Creamy Emmenthal	unpasteurized cow's milk	Austria	Sulzberg		"semi-hard, artisan"	50%		natural	creamy	yellow	"creamy, mild, nutty"	"fresh, mild"	Sulzberger Käserebellen Sennerei GmbH	Bio-Rahmemmentaler			"This cheese is currently unavailable on official site. Organic Creamy Emmenthal cheese from Käserebellen, is made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu. This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs. It is traditionally matured for three months and exhibits a well-rounded flavor profile of nutty, mild and creamy, with a soft and supple consistency."
Organic Elderflower	unpasteurized cow's milk	Austria	Sulzberg		"semi-hard, artisan"	50%		natural	creamy	yellow	"fruity, mild"	"floral, pleasant"	Sulzberger Käserebellen Sennerei GmbH	Bio-Holunderblütenrebell			"Organic Elderflower is a creamy and mild semi-hard cheese from Käserebellen, made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu.  This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs. As the name suggests, this naturally ripened speciality is infused with fresh yoghurt and elderflower juice, which give the cheese its pleasant, fruity flavor. The rind of this cheese also contains elderflower."
Organic Farm	unpasteurized cow's milk	Austria	Sulzberg		"semi-hard, artisan"	50%		natural	creamy and smooth	yellow	"creamy, smooth"		Sulzberger Käserebellen Sennerei GmbH	Bio-Scheunenkäse			"This cheese is currently unavailable on official site. Organic Farm is a semi-hard cheese from Käserebellen, made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu. This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs. It has a very soft consistency and natural rough rind produced by the continuous care taken during three months of maturing."
Organic Feta	pasteurized cow's milk	United States	NY	Feta	"soft, brined"			rindless	crumbly and open	white	"salty, sharp, tangy"	mild				yes	"Organic Feta is a pasteurised, organic cow's milk cheese. It is a Greek soft white brined cheese with a tangy and salty flavor, varying from mild to sharp. The cheese has small or no holes and is usually made in large blocks soaked in brine. Feta is typically crumbled atop salads."
Organic Fitness	unpasteurized cow's milk	Austria	Sulzberg		"semi-hard, artisan"	35%		natural	creamy and smooth	yellow	"mild, spicy"	mild	Sulzberger Käserebellen Sennerei GmbH	Bio-Fitnesskäse			"A dieter's delight with only 35% fat, Organic Fitness is a semi-hard cheese from Käserebellen, made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu. This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs. It's got a great fine, mildly spicy flavor and soft, yellowish pate, developed over three months of maturing."
Organic Flower Meadow	unpasteurized cow's milk	Austria	Sulzberg		"semi-hard, artisan"	48%		natural	creamy	golden yellow	"floral, grassy, herbaceous, mild"	"aromatic, herbal"	Sulzberger Käserebellen Sennerei GmbH	Bio-Wiesenkäse			"Organic Flower Meadow is a golden-yellow, creamy cheese from Käserebellen, made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu. This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs. As the name suggests, the silage-free aromatic plant diet fed to the cows foster the development of a unique and mild flavor."
Organic Gouda	pasteurized cow's milk	United States	NY	Gouda	"hard, artisan"			natural	"compact, crumbly, dense and springy"	yellow	"creamy, full-flavored, herbaceous, smokey"	pungent	"Engelbert Farms, LLC"			yes	"Inspired by the classic Dutch cheese, Organic Gouda is a pasture-raised, organic cows milk cheese from Engelbert Farms. It has an edible natural rind, which you can trim and use in soups. This very creamy, tasty cheese is perfect for snacking, on burgers or in recipes. It is available plain, dill and smoked flavors."
Organic Mango	unpasteurized cow's milk	Austria	Sulzberg		"semi-hard, artisan"	50%		natural	"creamy, firm and smooth"	golden orange	"fruity, sweet"	"fresh, fruity"	Sulzberger Käserebellen Sennerei GmbH	Bio-Mangokäse			"This cheese is currently unavailable on official site. Organic Mango is a seasonal cheese from Käserebellen, made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu. This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs. It is an exotic, fruity semi-hard cheese characterized by the presence of mango in the pate. The cheese is ripened for at least 10 weeks."
Organic MooVache	pasteurized cow's milk	United States	NY		"soft, artisan"			natural	spreadable	pale yellow	"earthy, smooth, tangy, tart"	clean	"Engelbert Farms, LLC"			yes	"Organic MooVache is a pasture-raised, organic cows milk cheese from Engelbert Farms. It is made the same way as Chevre, but with cow's milk. Soft and spreadabl, MooVache is available in the following flavors: Plain, Dill, Garlic Chive, Horseradish, Hot Pepper, Lemon Thyme, Cranberry and Tomato Basil"
Organic Mountain	unpasteurized cow's milk	Austria	Sulzberg		"hard, artisan"	45%		natural	firm and smooth	yellow	"mild, smooth"	aromatic	Sulzberger Käserebellen Sennerei GmbH	Bio-Bergkäse			"This cheese is currently unavailable on official site. Organic Mountain Cheese is a hard cheese from Käserebellen, made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu. This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs.  The soft and smooth cheese is ripened for a minimum of 3 months in cheese cellars which gives it a one-of-a-kind mildly aromatic taste."
Organic Mountain Climber	unpasteurized cow's milk	Austria	Sulzberg		"hard, artisan"	50%		natural	"crumbly, open and smooth"	yellow	"sharp, spicy"	strong	Sulzberger Käserebellen Sennerei GmbH	Bio-Bergsteigerkäse			"Organic Mountain Climber is a hard cheese from Käserebellen, made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu. This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs. The cheese is ripened for a minimum of 6 months which gives it a delicate, spicy taste.  This celebrated cheese has won a gold award at the 2014 World Cheese Awards."
Organic Pepper	unpasteurized cow's milk	Austria	Sulzberg		"semi-hard, artisan"	50%		natural	"creamy, firm and smooth"	golden yellow	"sharp, spicy"	"spicy, strong"	Sulzberger Käserebellen Sennerei GmbH	Bio-Pfefferkäse			"Organic Pepper is a pepper flavored speciality from Käserebellen, made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu. This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs. As the name suggests, this hearty cheese is infused with green and red peppercorns, which give the cheese its spicy flavor. Along with the intense spiciness of the peppers, the cheese also looks very attractive when sliced."
Organic Walnut	unpasteurized cow's milk	Austria	Sulzberg		"semi-hard, artisan"	50%		natural	"creamy, firm and smooth"	yellow	"nutty, sweet"	mild	Sulzberger Käserebellen Sennerei GmbH	Bio-Walnusskäse			"Organic Walnut is a seasonal cheese from Käserebellen, made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu. This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs. It is enriched with delicious pieces of walnuts which give the cheese its mild and nutty flavor. The cheese is ripened for at least 10 weeks."
Organic Wild Garlic	unpasteurized cow's milk	Austria	Sulzberg		"semi-hard, artisan"	50%		natural	"creamy, firm and smooth"	brownish yellow	"garlicky, spicy"	fresh	Sulzberger Käserebellen Sennerei GmbH	Bio-Bärlauchkäse			"Organic Wild Garlic is a seasonal cheese from Käserebellen, made from daily-fresh organic hay-milk processed on organic farms in the valley of the Großes Walsertal, the forest of the Bregenzerwald and the Bavarian Allgäu. This ""allergy friendly"" cheese is 100% GMO-free and without fermented foodstuffs. It is a naturally ripened, semi-hard cheese with a natural fat content.  In spring, wild garlic is added to the milk to give the cheese spicy, fresh spring flavor. The cheese is ripened for at least 10 weeks."
